,Title,City,Price(Rs),Tax+Charges(Rs),Total Price/night(Rs),Rating,Review,No of Reviews,Distance from Centre(km)
65,FabExpress Adore Inn,Mumbai,2840,341,3181,7.2,Good ,467 ,5.8
66,Bindra Elite,Mumbai,2047,246,2293,6.4,Good ,13 ,10.7
67,Dream Palace Residency,Mumbai,2610,313,2923,6.9,Good ,31 ,7.4
68,Fairfield by Marriott Mumbai International Airport,Mumbai,13499,2430,15929,8.1,Very good ,836 ,0.5
69,Taj Lands End,Mumbai,19250,3465,22715,8.6,Fabulous ,3878 ,3.8
70,FabHotel Gorrion International,Mumbai,2151,258,2409,6.6,Good ,89 ,4.9
71,Hotel A K Fort Inn,Mumbai,4050,486,4536,7.0,Good ,22 ,2.9
72,Chateau Windsor Hotel - Marine Drive,Mumbai,7056,847,7903,7.7,Good ,492 ,4.3
74,Nap Manor Hostels,Mumbai,3329,400,3729,9.0,Superb ,856 ,17.8
75,"The Taj Mahal Palace, Mumbai",Mumbai,24000,4320,28320,9.1,Superb ,1534 ,3.4
76,Treebo Trend Seven Olives,Mumbai,3107,373,3480,6.5,Good ,51 ,5.3
77,AVIRAHI HOTEL,Mumbai,2500,300,2800,6.7,Good ,44 ,2.2
78,Hotel Emerald Near International Airport Mumbai,Mumbai,2065,248,2313,6.5,Good ,13 ,3.7
79,ZARA GRAND HOTEL,Mumbai,3000,360,3360,7.0,Good ,161 ,13.9
80,Residency Hotel Andheri,Mumbai,6389,767,7156,7.4,Good ,327 ,14.2
81,Astoria Hotel,Mumbai,11000,1980,12980,8.2,Very good ,68 ,3.1
82,Maxxvalue Apartment Hiranandani Powai - RH5,Mumbai,8549,1539,10088,8.5,Very good ,33 ,5.6
83,FabHotel Bhiwandi Palace,Mumbai,2046,316,2362,7.6,Good ,27 ,2.6
84,"Hotel Park View, Mumbai",Mumbai,5399,648,6047,7.3,Good ,48 ,7.1
85,Hotel Naaz Executive,Mumbai,5499,660,6159,9.2,Superb ,47 ,1.9
86,Sea Green Hotel,Mumbai,9444,1700,11144,7.1,Good ,471 ,4.9
87,Apex Hotel,Mumbai,1979,238,2217,4.8,Good ,88 ,16
88,Hotel Marine Plaza,Mumbai,14849,2673,17522,7.5,Good ,436 ,16.8
89,"Marriott Executive Apartment - Lakeside Chalet, Mumbai",Mumbai,17000,3060,20060,7.9,Good ,346 ,2.4
90,FabExpress We Stay,Mumbai,2148,258,2406,6.8,Good ,26 ,10.1
91,FabHotel Empire Suite,Mumbai,2955,355,3310,6.7,Good ,102 ,3.3
92,Radisson Mumbai Andheri MIDC,Mumbai,10500,2415,12915,8.1,Very good ,1377 ,2.3
93,FabHotel Spring Inn Kandivali,Mumbai,3127,375,3502,7.7,Good ,346 ,17.8
94,Courtyard by Marriott Mumbai International Airport,Mumbai,14000,2520,16520,8.1,Very good ,1403 ,4.2
95,Hotel Avion Palace New,Mumbai,2079,250,2329,7.7,Good ,38 ,14.4
96,Peace International,Mumbai,4050,486,4536,7.6,Good ,99 ,3.1
97,FabHotel Zaika Orchid Apartment,Mumbai,2046,246,2292,7.3,Good ,15 ,2.3
98,Country Inn & Suites By UMRB,Mumbai,5400,648,6048,7.7,Good ,446 ,5.2
99,Krishna Palace Hotel,Mumbai,7450,894,8344,6.8,Good ,2315 ,16.9
100,Novotel Mumbai Juhu Beach,Mumbai,11000,1980,12980,7.9,Good ,52 ,2.6
101,Treebo Tryst Savera Inn,Mumbai,7062,847,7909,9.3,Superb ,1647 ,6
102,The Oberoi Mumbai,Mumbai,22000,3960,25960,7.9,Good ,907 ,32.4
103,Hotel Bawa Continental,Mumbai,6750,810,7560,8.1,Very good ,410 ,5.4
104,Theory9 Premium Service Apartments Bandra,Mumbai,10997,1979,12976,6.5,Good ,69 ,2.3
105,"Treebo Trend Amber Palace - 3 Km Away From Wankhede Stadium, Mumbai",Mumbai,4028,483,4511,7.0,Good ,108 ,1.9
106,Rama Krishna Hotel,Mumbai,4000,480,4480,5.8,Good ,704 ,16.9
107,Hotel Leafio-Near Airport,Mumbai,2699,324,3023,6.5,Good ,1395 ,2.4
108,ibis Mumbai Airport - An Accor Brand,Mumbai,6999,840,7839,6.8,Good ,465 ,2.7
109,Backpackers Villa Mumbai,Mumbai,2214,266,2480,3.9,Good ,214 ,17
110,Hotel Happyland,Mumbai,2610,313,2923,8.1,Very good ,1150 ,2.5
111,The Westin Mumbai Powai Lake,Mumbai,12000,2160,14160,7.8,Good ,67 ,6.7
112,Treebo Trend Atithi Inn,Mumbai,4272,513,4785,5.8,Good ,233 ,4.2
113,Ginger Mumbai Andheri (MIDC),Mumbai,3999,480,4479,7.7,Good ,590 ,3.6
114,FabHotel Axis International,Mumbai,3978,477,4455,4.7,Good ,117 ,4.8
115,Hotel Milan International,Mumbai,1787,214,2001,3.6,Good ,86 ,14.2
116,"Hotel BKC Inn Near Trade Center, Visa Consulate",Mumbai,2940,353,3293,6.0,Good ,31 ,4.4
117,RELAX GUEST HOUSE,Mumbai,1680,202,1882,8.0,Very good ,344 ,7.5
118,Elphinstone Hotel,Mumbai,4556,547,5103,6.6,Good ,129 ,3.8
119,"Treebo Trend Prime Grand, Andheri",Mumbai,2566,308,2874,6.5,Good ,90 ,24.5
120,Hotel Olten,Mumbai,3200,384,3584,6.9,Good ,348 ,7.4
121,T24 Residency,Mumbai,6999,840,7839,7.1,Good ,350 ,1.9
122,Hotel Embassy Park - BKC Mumbai,Mumbai,3400,408,3808,7.3,Good ,297 ,14.3
123,Hostel Vasantashram CST Mumbai,Mumbai,2088,251,2339,3.0,Good ,8 ,6.7
