,Unnamed: 0,Title,City,Price(Rs),Tax+Charges(Rs),Total Price/night(Rs),Rating,Review,No of Reviews,Distance from Centre(km)
59,59,OYO Townhouse 196 De Alphabet,Hyderabad,1342,178,1520,6.9,Good ,17,3.4
60,60,Nectar Living - Iris,Hyderabad,1800,216,2016,7.8,Good ,89,6.9
61,61,"ITC Kakatiya, a Luxury Collection Hotel, Hyderabad",Hyderabad,13490,2428,15918,7.2,Good ,30,2.7
62,62,Treebo Trend Address Inn,Hyderabad,3541,425,3966,7.2,Good ,68,1.3
63,63,FabHotel Golden Hitech,Hyderabad,1932,232,2164,7.5,Good ,35,6.5
64,64,FabExpress Kpotel,Hyderabad,1782,214,1996,7.5,Good ,82,6.1
65,65,FabExpress Airport Stay Inn,Hyderabad,1242,149,1391,7.5,Good ,29,1.9
66,66,FabExpress Golden Gate,Hyderabad,1818,218,2036,7.6,Good ,206,6.5
67,67,FabHotel Fortune Grand,Hyderabad,2273,273,2546,7.1,Good ,144,2.8
68,68,INR Suites Madhapur,Hyderabad,2849,342,3191,5.7,Good ,20,6.4
69,69,Treebo Trend Royal Signature,Hyderabad,3791,455,4246,6.8,Good ,213,6.9
70,70,Treebo Trend J A Royal Suites Manikonda,Hyderabad,2575,309,2884,8.0,Very good ,5,6.6
71,71,Treebo Trend Kruthika Inn,Hyderabad,3174,381,3555,7.5,Good ,209,9.5
72,72,Dash Hotels - Affordable Luxury,Hyderabad,3360,403,3763,8.4,Very good ,1926,5.9
73,73,FabHotel A&M,Hyderabad,2739,329,3068,7.0,Good ,120,1.1
74,74,Capital O Hotel Saharsh Grand Near Shilparamam,Hyderabad,1636,230,1866,7.1,Good ,362,8.9
75,75,Bloom Hotel - HITEC City,Hyderabad,6074,729,6803,6.6,Good ,524,6.8
76,76,Treebo Trend Navya The Park,Hyderabad,2528,303,2831,8.8,Fabulous ,6,6.9
77,77,The Landmark Banjara Hills - Hyderabad,Hyderabad,2400,288,2688,6.3,Good ,55,0.7
78,78,"Vivanta Hyderabad, Begumpet",Hyderabad,10500,1890,12390,7.3,Good ,46,3.8
79,79,Itsy By Treebo - Infinity Hitech City,Hyderabad,2651,318,2969,4.2,Good ,436,7.6
80,80,FabExpress Deccan Heritage Abids,Hyderabad,2446,294,2740,7.7,Good ,246,5.3
81,81,M Square Hotel,Hyderabad,2295,275,2570,5.3,Good ,46,8.1
82,82,FabHotel Prime AM Suites,Hyderabad,4207,505,4712,6.9,Good ,36,6.2
83,83,FabHotel L Grand,Hyderabad,1901,228,2129,6.9,Good ,120,7.0
84,84,FabHotel Green Leaf,Hyderabad,1818,60,1878,6.9,Good ,133,10.3
85,85,The Manohar Hyderabad,Hyderabad,4320,518,4838,2.8,Good ,21,4.8
86,86,"Hotel Deccan Serai, HITEC CITY, HYDERABAD",Hyderabad,3919,470,4389,7.7,Good ,60,6.6
87,87,"OYO Townhouse 710 Hotel Regal Near ISKON TEMPLE , ABIDS",Hyderabad,899,142,1041,7.5,Good ,202,5.1
88,88,Townhouse 496 De Alphabet,Hyderabad,1424,188,1612,6.5,Good ,1393,9.5
