,Title,City,Price(Rs),Tax+Charges(Rs),Total Price/night(Rs),Rating,Review,No of Reviews,Distance from Centre(km)
87,"OYO Townhouse 710 Hotel Regal Near ISKON TEMPLE , ABIDS",Hyderabad,899,142,1041,7.5,Good ,202,5.1
88,Townhouse 496 De Alphabet,Hyderabad,1424,188,1612,6.5,Good ,1393,9.5
89,"Treebo Trend Arastu Grand - 8 Km Away From Rajiv Gandhi International Cricket Stadium, Hyderabad",Hyderabad,2929,352,3281,5.5,Good ,87,4.5
90,Itsy By Treebo - Sunrise Grand,Hyderabad,2822,339,3161,7,Good ,127,9.5
91,OYO Ritesh Grand,Hyderabad,584,96,680,5.6,Good ,5,17.5
92,TheReefApartment,Hyderabad,2430,292,2722,9,Good ,13,17.2
93,Hotel B plus L,Hyderabad,6749,810,7559,7.4,Superb ,40,8.5
94,"Holiday Inn Express Hyderabad HITEC City, an IHG Hotel",Hyderabad,9700,1746,11446,7.1,Good ,71,7.7
95,OYO Hotel Aroma Classic Near Nampally Railway station,Hyderabad,891,141,1032,7.6,Good ,150,5.6
96,"Lemon Tree Hotel, Banjara Hills, Hyderabad",Hyderabad,7926,2362,10288,8.4,Good ,109,1.3
97,Collection O Athidhi Hotel & Suites,Hyderabad,2927,385,3312,7,Very good ,175,11.6
98,"Tourist Friendly Home -3BHK AC Near Birla Mandir, Hyderabad",Hyderabad,4799,576,5375,8.8,Good ,43,3.6
99,Olive Service Apartments Gachibowli,Hyderabad,4490,539,5029,7,Fabulous ,19,7.6
100,Treebo Trend De Alphabet Kondapur,Hyderabad,2611,313,2924,9.5,Good ,27,12.1
101,"Treebo Trend Tee - 8 Km Away From Rajiv Gandhi International Cricket Stadium, Hyderabad",Hyderabad,2975,357,3332,6.8,Exceptional ,4,15
102,Bloom Hotel - Gachibowli,Hyderabad,4950,594,5544,7.7,Good ,13,7.6
103,ZIBE Hyderabad by GRT Hotels,Hyderabad,6300,882,7182,7.7,Good ,41,9.3
104,Townhouse OAK De Alphabet Hotel Bolarum,Hyderabad,1780,231,2011,5.7,Good ,154,15.2
105,Super OYO Townhouse OAK Hotel SSV Grand,Hyderabad,1601,226,1827,5.5,Good ,190,5.1
106,Monday Hotels Hitec City,Hyderabad,4800,576,5376,6.3,Good ,2,8.8
107,Prince Tower-4BHK Apartments,Hyderabad,4455,535,4990,7.4,Good ,15,7.3
108,Hotel SSR GRAND,Hyderabad,2808,337,3145,5,Good ,14,15.8
109,Hotel Pratz Inn,Hyderabad,2700,324,3024,6.3,Good ,31,9.5
110,FabHotel Limestone Aura,Hyderabad,2273,273,2546,9.9,Good ,1859,2.6
111,Capital O Sri Vinayaka Luxury Hotel,Hyderabad,1252,201,1453,8.5,Exceptional ,9,9.3
112,Collection O J3 Royal Luxury Rooms,Hyderabad,1435,206,1641,8,Very good ,47,6.9
113,Collection O 81309 Hamsa the Right choice,Hyderabad,1454,209,1663,6.8,Very good ,323,6.8
114,Capital O Halcyon Inr Suites Madhapur,Hyderabad,2643,334,2977,7.1,Good ,95,6.4
115,Townhouse 1065 Hotel S Continental Near Birla Mandir,Hyderabad,991,144,1135,8.8,Good ,78,6.2
116,"Holiday Inn Express Hyderabad Banjara Hills, an IHG Hotel",Hyderabad,7019,842,7861,7.5,Fabulous ,51,1.7
117,FabHotel Rooms 27,Hyderabad,1617,194,1811,7.4,Good ,192,6.5
