,Title,City,Price(Rs),Tax+Charges(Rs),Total Price/night(Rs),Rating,Review,No of Reviews,Distance from Centre(km)
61,FabHotel Crown Heights,Bangalore,2273,273,2546,8.1,Very good ,327 ,5
62,Treebo Trend Raj Elegance Nagavara,Bangalore,2105,253,2358,6.0,Good ,362 ,7.4
63,"Royal Orchid Central Bangalore, Manipal Centre, MG Road",Bangalore,4250,510,4760,8.6,Fabulous ,838 ,1.5
64,FabHotel Crown Suites,Bangalore,1705,205,1910,9.3,Superb ,72 ,5
65,Super OYO Townhouse OAK Spruce Hotels A2 Indiranagar,Bangalore,1800,217,2017,7.0,Good ,294 ,4.3
66,"Treebo Trend Apple Villa - 2 Km Away From Chinnaswamy Stadium, Bangalore",Bangalore,2298,276,2574,7.3,Good ,1887 ,2.3
67,ibis Bengaluru City Centre - An Accor Brand,Bangalore,3999,480,4479,8.2,Very good ,92 ,1.3
68,Laika Boutique Stay,Bangalore,4400,528,4928,8.1,Very good ,35 ,1.7
69,Modern Hotel,Bangalore,1320,158,1478,8.3,Very good ,125 ,3.2
70,Terrace Gardens,Bangalore,4500,540,5040,9.0,Superb ,6 ,1.4
71,Home Awaits 455,Bangalore,1650,198,1848,7.9,Good ,27 ,12.4
72,Super OYO Collection O 73977 Malleswaram,Bangalore,1925,265,2190,9.7,Exceptional ,4 ,3.7
73,Apart Hotel SRS,Bangalore,2240,269,2509,8.7,Fabulous ,1045 ,4.7
74,Shangri-La Bengaluru,Bangalore,16500,2970,19470,7.4,Good ,321 ,2.3
75,"Southern Star,Bangalore",Bangalore,5185,928,6113,7.9,Good ,148 ,4.4
76,Tristar Serviced Apartments,Bangalore,3750,450,4200,7.4,Good ,12 ,28.2
77,Krishna Homes,Bangalore,6800,816,7616,8.3,Very good ,1069 ,2.1
78,Conrad Bengaluru,Bangalore,15000,2700,17700,8.9,Fabulous ,118 ,9.8
79,Felix Inn - Manyata Tech Park,Bangalore,1650,198,1848,7.6,Good ,269 ,3.9
80,X by Bloom l Indiranagar,Bangalore,3690,443,4133,5.8,Good ,39 ,5.5
81,Hotel Monarch International Jayanagar,Bangalore,2249,270,2519,8.9,Fabulous ,300 ,4.9
82,FabHotel The Leela Park,Bangalore,2030,244,2274,7.4,Good ,1297 ,2.6
83,"Holiday Inn Bengaluru Racecourse, an IHG Hotel",Bangalore,6199,744,6943,8.0,Very good ,77 ,7.6
84,X by Bloom I Hebbal Manyata Park,Bangalore,2160,259,2419,7.6,Good ,586 ,5.4
85,Sterlings Mac Hotel,Bangalore,7820,1408,9228,7.6,Good ,64 ,6.2
86,Olive Golflinks - by Embassy Group,Bangalore,1898,228,2126,5.3,Good ,37 ,5.5
87,The Corporate Comforts,Bangalore,1650,198,1848,8.1,Very good ,306 ,4.4
88,Bloom Hotel - Indiranagar,Bangalore,5000,600,5600,7.7,Good ,184 ,5.7
89,Capital O Boulevard Elite Madiwala Near Ragigudda Sri Prasanna Anjanayeswamy Temple,Bangalore,1007,163,1170,6.6,Good ,93 ,3.4
90,Atlaantic Inn,Bangalore,1445,173,1618,8.2,Very good ,445 ,5.9
91,FabExpress Ivory Pearl,Bangalore,1249,150,1399,7.0,Good ,176 ,2.3
92,"Treebo Trend Trinitywood - 3 Km Away From Chinnaswamy Stadium, Bangalore",Bangalore,1815,218,2033,9.0,Superb ,413 ,5.3
93,FabHotel Greenwood Xpress,Bangalore,1750,210,1960,7.7,Good ,48 ,6.5
94,Capital O VMK Paradise,Bangalore,922,145,1067,8.9,Fabulous ,1854 ,5.3
95,The Leela Palace Bengaluru,Bangalore,17000,3060,20060,10,Exceptional ,3 ,10.1
97,ZEKE HOTELS,Bangalore,1890,227,2117,8.5,Very good ,167 ,3.3
98,Temple Tree Hotel,Bangalore,2880,346,3226,8.0,Very good ,712 ,19.6
99,"Holiday Inn Express & Suites Bengaluru Old Madras Road, an IHG Hotel",Bangalore,4049,486,4535,8.7,Fabulous ,3 ,3.1
100,Place with a cosy and homely feel,Bangalore,4200,504,4704,7.1,Good ,52 ,25.7
101,Treebo Trend SK Suites,Bangalore,1690,203,1893,8.3,Very good ,318 ,0.9
102,JW Marriott Hotel Bengaluru,Bangalore,15000,2700,17700,6.8,Good ,309 ,2.8
103,Hotel Embassy,Bangalore,990,119,1109,8.4,Very good ,16 ,16.4
104,ROYAL ACE LUXUR,Bangalore,2250,270,2520,6.9,Good ,67 ,2.8
105,Sri Durgamba Lodge,Bangalore,830,100,930,7.8,Good ,122 ,3.9
106,"Treebo Trend Raj Premier - 4 Km Away From Chinnaswamy Stadium, Bangalore",Bangalore,3511,421,3932,6.2,Good ,522 ,3.7
107,BNGV Mystic Premier Hotel,Bangalore,3640,437,4077,7.6,Good ,103 ,1.4
